fpl_id,review_id,Name,Pos,Value,30_Pts,30_xMins,31_Pts,31_xMins,32_Pts,32_xMins,33_Pts,33_xMins,34_Pts,34_xMins,35_Pts,35_xMins,36_Pts,36_xMins,Team
203,203,Gusto,D,4.2,3.78,90.0,2.68,90.0,3.16,90.0,2.44,90.0,1.22,90.0,2.24,90.0,2.94,90.0,Chelsea
584,584,Pau,D,4.6,3.45,90.0,1.3,90.0,3.37,90.0,1.45,90.0,2.99,90.0,2.51,90.0,2.16,90.0,Aston Villa
611,611,Disasi,D,4.9,3.58,90.0,2.66,90.0,3.33,90.0,2.94,90.0,1.6,90.0,2.94,90.0,3.93,90.0,Chelsea
551,551,Dawson,D,4.5,1.71,90.0,2.83,90.0,3.14,90.0,2.79,90.0,3.75,90.0,3.51,90.0,0.91,90.0,Wolves
391,391,Martinez,D,4.7,1.29,90.0,0.84,90.0,0.56,90.0,1.37,90.0,2.63,90.0,3.39,90.0,2.71,90.0,Man Utd
96,96,Collins,D,4.5,1.96,90.0,1.8,90.0,1.16,90.0,2.34,90.0,1.51,90.0,1.48,90.0,1.75,90.0,Brentford
563,563,Kilman,D,4.5,1.95,90.0,2.97,90.0,3.09,90.0,2.76,90.0,3.7,90.0,3.39,90.0,0.93,90.0,Wolves
610,610,Bassey,D,4.4,3.18,90.0,2.72,90.0,2.45,90.0,2.26,90.0,1.62,90.0,3.17,90.0,2.34,90.0,Fulham
688,688,Castagne,D,4.5,3.35,90.0,2.84,90.0,2.69,90.0,2.42,90.0,1.82,90.0,3.39,90.0,2.56,90.0,Fulham
252,252,Godfrey,D,4.3,2.01,90.0,1.75,90.0,2.86,90.0,1.54,90.0,3.75,90.0,2.55,90.0,2.2,90.0,Everton
639,639,Van de Ven,D,4.4,1.68,90.0,1.71,90.0,3.17,90.0,2.11,90.0,1.63,90.0,2.02,90.0,1.31,90.0,Spurs
48,48,Konsa,D,4.5,3.33,90.0,1.23,90.0,3.29,90.0,1.39,90.0,2.95,90.0,2.45,90.0,2.11,90.0,Aston Villa
10,10,Kiwior,D,4.4,1.45,90.0,2.61,90.0,1.62,90.0,1.59,90.0,2.36,90.0,1.28,90.0,1.7,90.0,Arsenal
220,220,Andersen,D,4.7,2.84,90.0,2.28,90.0,1.4,90.0,1.09,90.0,4.56,90.0,2.22,90.0,2.4,90.0,Crystal Palace
150,150,Van Hecke,D,4.1,1.25,90.0,2.63,90.0,1.92,90.0,2.99,90.0,0.46,90.0,3.4,90.0,3.62,90.0,Brighton
792,792,Muñoz,D,4.5,2.85,90.0,2.34,90.0,1.44,90.0,1.11,90.0,4.75,90.0,2.28,90.0,2.49,90.0,Crystal Palace
616,616,Gvardiol,D,4.8,2.07,90.0,2.57,90.0,3.04,90.0,3.21,90.0,2.19,90.0,2.79,90.0,3.19,90.0,Man City
532,532,Emerson,D,4.4,1.85,90.0,2.25,90.0,2.57,90.0,2.99,90.0,2.79,90.0,1.76,90.0,1.8,90.0,West Ham
573,573,Toti,D,4.4,1.68,90.0,2.47,90.0,2.44,90.0,2.27,90.0,3.04,90.0,2.82,90.0,0.83,90.0,Wolves
131,131,Estupiñan,D,4.9,1.36,90.0,2.44,90.0,1.88,90.0,2.66,90.0,0.46,90.0,3.14,90.0,3.29,90.0,Brighton
572,572,N.Semedo,D,4.5,1.79,90.0,2.82,90.0,2.98,90.0,2.61,90.0,3.51,90.0,3.26,90.0,0.87,90.0,Wolves
234,234,Mitchell,D,4.5,2.72,90.0,2.22,90.0,1.38,90.0,1.09,90.0,4.45,90.0,2.16,90.0,2.28,90.0,Crystal Palace
528,528,Coufal,D,4.6,1.91,90.0,2.06,90.0,2.36,90.0,2.8,90.0,2.57,90.0,1.59,90.0,1.63,90.0,West Ham
395,395,R.Varane,D,4.9,2.62,90.0,1.87,90.0,1.81,90.0,2.05,90.0,2.6,90.0,2.66,90.0,2.09,90.0,Man Utd
32,32,Alex Moreno,D,5.2,2.8,90.0,1.19,90.0,2.67,90.0,1.27,90.0,2.4,90.0,2.05,90.0,1.79,90.0,Aston Villa
676,676,Mavropanos,D,4.5,1.98,90.0,2.12,90.0,2.41,90.0,2.78,90.0,2.62,90.0,1.62,90.0,1.63,90.0,West Ham
89,89,Zabarnyi,D,4.5,2.69,90.0,3.07,90.0,2.48,90.0,2.18,90.0,3.01,90.0,2.22,90.0,1.07,90.0,Bournemouth
696,696,Murillo,D,4.5,3.06,90.0,2.72,90.0,1.35,90.0,2.71,90.0,2.11,90.0,1.19,90.0,2.86,90.0,Nott'm Forest
197,197,Colwill,D,4.7,1.06,90.0,1.48,90.0,2.26,90.0,2.81,90.0,1.65,90.0,2.93,90.0,3.78,90.0,Chelsea
386,386,Lindelof,D,4.5,1.66,90.0,1.25,90.0,1.18,90.0,1.5,90.0,1.77,90.0,1.89,90.0,1.32,90.0,Man Utd
